,index,name,injury_10,injury_11,injury_12,injury_13,injury_14,injury_15,injury_16,injury_17,injury_18,height,weight,year_start,year_end,position,birth_date,played_10,played_11,played_12,played_13,played_14,played_15,played_16,played_17,played_18,G_position,F_position,C_position,years_played_before_2010,year_of_birth,age_at_2010,total_injuries,total_years_played,total_number_injuries
0,0,Jef Ayres,1,0,1,0,0,0,0,0,0,188.0,83.0,2010,2016,F,29-Apr-87,1,1,1,1,1,1,1,0,0,0,1,0,0,1987,23,2,7,2
1,1,Nic Collison,1,0,0,0,0,0,0,0,0,208.0,115.0,2005,2018,F,26-Oct-80,1,1,1,1,1,1,1,1,1,0,1,0,5,1980,30,1,9,1
2,2,Mau Evans,1,0,0,0,0,0,0,0,0,196.0,99.0,2002,2012,G,8-Nov-78,1,1,1,0,0,0,0,0,0,1,0,0,8,1978,32,1,3,1
3,3,Ell Williams,1,0,0,0,0,0,0,0,0,196.0,86.0,2012,2016,G,20-Jun-89,0,0,1,1,1,1,1,0,0,1,0,0,0,1989,21,1,5,1
4,4,Mar Williams,1,0,1,0,1,0,0,0,0,185.0,89.0,2007,2010,G,3-Dec-85,1,0,0,0,0,0,0,0,0,1,0,0,3,1985,25,3,1,3
5,5,Jer O'Neal,1,1,1,0,1,0,0,0,0,211.0,102.0,1997,2014,F-C,13-Oct-78,1,1,1,1,1,0,0,0,0,0,0,0,13,1978,32,4,5,4
6,6,Bra Roy,2,0,1,0,0,0,0,0,0,198.0,97.0,2007,2013,G,23-Jul-84,1,1,1,1,0,0,0,0,0,1,0,0,3,1984,26,3,4,3
7,7,Gre Oden,1,1,1,0,1,0,0,0,0,213.0,113.0,2009,2014,C,22-Jan-88,1,1,1,1,1,0,0,0,0,0,0,1,1,1988,22,4,5,4
8,8,Joh Wall,1,0,1,0,0,0,1,1,1,193.0,88.0,2011,2018,G,6-Sep-90,0,1,1,1,1,1,1,1,1,1,0,0,0,1990,20,5,8,5
9,9,Pej Stojakovic,1,0,0,0,0,0,0,0,0,206.0,99.0,1999,2011,F-G,9-Jun-77,1,1,0,0,0,0,0,0,0,0,0,0,11,1977,33,1,2,1
10,10,Car Anthony,1,0,1,0,1,2,1,1,0,203.0,108.0,2004,2018,F,29-May-84,1,1,1,1,1,1,1,1,1,0,1,0,6,1984,26,7,9,7
11,11,Mic Pietrus,1,0,3,1,0,0,0,0,0,198.0,97.0,2004,2013,G-F,7-Feb-82,1,1,1,1,0,0,0,0,0,0,0,0,6,1982,28,5,4,5
12,12,And Bargnani,1,0,0,0,0,0,0,0,0,213.0,111.0,2007,2016,F-C,26-Oct-85,1,1,1,1,1,1,1,0,0,0,0,0,3,1985,25,1,7,1
13,13,Yi Jianlian,1,0,0,0,0,0,0,0,0,213.0,108.0,2008,2012,F,27-Oct-87,1,1,1,0,0,0,0,0,0,0,1,0,2,1987,23,1,3,1
14,15,Dan Orton,1,0,0,1,0,0,0,0,0,208.0,115.0,2012,2014,C-F,6-Aug-90,0,0,1,1,1,0,0,0,0,0,0,0,0,1990,20,2,3,2
15,16,Ken Martin,1,1,0,1,0,0,0,0,0,206.0,106.0,2001,2015,F,30-Dec-77,1,1,1,1,1,1,0,0,0,0,1,0,9,1977,33,3,6,3
16,17,Jor Farmar,1,0,0,0,0,0,0,0,0,188.0,81.0,2007,2017,G,30-Nov-86,1,1,1,1,1,1,1,1,0,1,0,0,3,1986,24,1,8,1
17,18,Xav Henry,0,1,0,1,1,0,0,0,0,198.0,99.0,2011,2015,G,15-Mar-91,0,1,1,1,1,1,0,0,0,1,0,0,0,1991,19,3,5,3
18,19,Dan Gallinari,0,1,0,4,3,0,0,1,0,208.0,102.0,2009,2018,F,8-Aug-88,1,1,1,1,1,1,1,1,1,0,1,0,1,1988,22,9,9,9
19,20,Car Butler,0,1,0,1,0,0,0,0,0,201.0,103.0,2003,2016,F,13-Mar-80,1,1,1,1,1,1,1,0,0,0,1,0,7,1980,30,2,7,2
20,21,Ste Jackson,0,1,0,0,0,0,0,0,0,190.0,83.0,2001,2014,F-G,5-Apr-78,1,1,1,1,1,0,0,0,0,0,0,0,9,1978,32,1,5,1
21,22,Gan Lawal,0,2,0,0,0,0,0,0,0,206.0,106.0,2011,2011,F,7-Nov-88,0,1,0,0,0,0,0,0,0,0,1,0,0,1988,22,2,1,2
22,23,Mat Barnes,0,2,0,0,0,0,0,0,0,203.0,95.0,2004,2017,F,9-Mar-80,1,1,1,1,1,1,1,1,0,0,1,0,6,1980,30,2,8,2
23,24,Ty Lawson,0,1,0,0,0,0,0,1,0,180.0,88.0,2010,2017,G,3-Nov-87,1,1,1,1,1,1,1,1,0,1,0,0,0,1987,23,2,8,2
24,25,Bra Miller,0,2,0,0,0,0,0,0,0,211.0,110.0,1999,2012,C,12-Apr-76,1,1,1,0,0,0,0,0,0,0,0,1,11,1976,34,2,3,2
25,26,Ton Allen,0,2,1,0,0,1,3,2,0,193.0,96.0,2005,2018,G-F,11-Jan-82,1,1,1,1,1,1,1,1,1,0,0,0,5,1982,28,9,9,9
26,27,Mat Bonner,0,1,0,1,0,0,0,0,0,208.0,106.0,2005,2016,F,5-Apr-80,1,1,1,1,1,1,1,0,0,0,1,0,5,1980,30,2,7,2
27,28,Lin Kleiza,0,2,3,1,0,0,0,0,0,203.0,111.0,2006,2013,F,3-Jan-85,1,1,1,1,0,0,0,0,0,0,1,0,4,1985,25,6,4,6
28,29,Mar Camby,0,1,0,0,0,0,0,0,0,211.0,99.0,1997,2013,C-F,22-Mar-74,1,1,1,1,0,0,0,0,0,0,0,0,13,1974,36,1,4,1
29,30,Tre Ariza,0,1,0,2,0,0,0,0,0,203.0,97.0,2005,2018,F,30-Jun-85,1,1,1,1,1,1,1,1,1,0,1,0,5,1985,25,3,9,3
30,31,Joe Dorsey,0,1,0,0,0,0,0,0,0,203.0,121.0,2009,2015,F,16-Dec-83,1,1,1,1,1,1,0,0,0,0,1,0,1,1983,27,1,6,1
31,32,Gil Arenas,0,3,0,0,0,0,0,0,0,190.0,86.0,2002,2012,G,6-Jan-82,1,1,1,0,0,0,0,0,0,1,0,0,8,1982,28,3,3,3
32,33,And Bynum,0,2,1,1,0,0,0,0,0,213.0,129.0,2006,2014,C,27-Oct-87,1,1,1,1,1,0,0,0,0,0,0,1,4,1987,23,4,5,4
33,34,Has Whiteside,0,2,0,0,0,0,2,2,0,213.0,120.0,2011,2018,C,13-Jun-89,0,1,1,1,1,1,1,1,1,0,0,1,0,1989,21,6,8,6
34,35,Jer Bayless,0,1,0,1,2,0,2,0,0,190.0,90.0,2009,2018,G,20-Aug-88,1,1,1,1,1,1,1,1,1,1,0,0,1,1988,22,6,9,6
35,36,Fra Elson,0,1,0,0,0,0,0,0,0,213.0,106.0,2004,2012,C,28-Feb-76,1,1,1,0,0,0,0,0,0,0,0,1,6,1976,34,1,3,1
36,37,Lut Head,0,1,0,0,0,0,0,0,0,190.0,83.0,2006,2011,G,26-Nov-82,1,1,0,0,0,0,0,0,0,1,0,0,4,1982,28,1,2,1
37,38,Dex Pittman,0,1,0,0,0,0,0,0,0,211.0,139.0,2011,2014,C,2-Mar-88,0,1,1,1,1,0,0,0,0,0,0,1,0,1988,22,1,4,1
38,39,Key Dooling,0,1,0,0,0,0,0,0,0,190.0,88.0,2001,2013,G,8-May-80,1,1,1,1,0,0,0,0,0,1,0,0,9,1980,30,1,4,1
39,40,Tyr Thomas,0,2,1,1,0,0,0,0,0,206.0,97.0,2007,2015,F,17-Aug-86,1,1,1,1,1,1,0,0,0,0,1,0,3,1986,24,4,6,4
40,41,Jos Smith,0,1,1,2,1,0,0,0,0,213.0,106.0,2005,2018,F,5-Dec-85,1,1,1,1,1,1,1,1,1,0,1,0,5,1985,25,5,9,5
41,42,Gle Davis,0,1,1,0,0,0,0,0,0,206.0,131.0,2008,2015,F-C,1-Jan-86,1,1,1,1,1,1,0,0,0,0,0,0,2,1986,24,2,6,2
42,43,Nat Robinson,0,1,0,0,1,0,0,0,0,175.0,81.0,2006,2016,G,31-May-84,1,1,1,1,1,1,1,0,0,1,0,0,4,1984,26,2,7,2
43,44,Ras Lewis,0,1,2,0,0,0,0,0,0,198.0,90.0,1999,2014,F,8-Aug-79,1,1,1,1,1,0,0,0,0,0,1,0,11,1979,31,3,5,3
44,45,Car Martin,0,1,0,1,0,0,0,0,0,201.0,99.0,2009,2015,F,20-Nov-84,1,1,1,1,1,1,0,0,0,0,1,0,1,1984,26,2,6,2
45,46,Joe Przybilla,0,2,1,0,0,0,0,0,0,216.0,115.0,2001,2013,C,10-Oct-79,1,1,1,1,0,0,0,0,0,0,0,1,9,1979,31,3,4,3
46,47,Pau Millsap,0,1,0,0,1,0,1,1,0,203.0,111.0,2007,2018,F,10-Feb-85,1,1,1,1,1,1,1,1,1,0,1,0,3,1985,25,4,9,4
47,48,Ale Ajinca,0,1,0,0,0,0,0,1,1,218.0,112.0,2009,2017,C,6-May-88,1,1,1,1,1,1,1,1,0,0,0,1,1,1988,22,3,8,3
48,49,Jos Howard,0,1,2,0,0,0,0,0,0,201.0,95.0,2004,2013,F-G,28-Apr-80,1,1,1,1,0,0,0,0,0,0,0,0,6,1980,30,3,4,3
49,50,Nic Young,0,1,1,0,1,1,0,0,0,201.0,95.0,2008,2018,G-F,1-Jun-85,1,1,1,1,1,1,1,1,1,0,0,0,2,1985,25,4,9,4
50,51,Arm Johnson,0,1,0,0,0,0,0,0,0,196.0,107.0,2011,2012,G,23-Feb-89,0,1,1,0,0,0,0,0,0,1,0,0,0,1989,21,1,2,1
51,52,Mar Chalmers,0,1,0,0,0,1,0,0,0,188.0,86.0,2009,2018,G,19-May-86,1,1,1,1,1,1,1,1,1,1,0,0,1,1986,24,2,9,2
52,53,And Kirilenko,0,1,0,0,0,0,0,0,0,206.0,99.0,2002,2015,F,18-Feb-81,1,1,1,1,1,1,0,0,0,0,1,0,8,1981,29,1,6,1
53,54,Ben Wallace,0,1,0,0,0,0,0,0,0,206.0,108.0,1997,2012,F-C,10-Sep-74,1,1,1,0,0,0,0,0,0,0,0,0,13,1974,36,1,3,1
54,55,Jam Nelson,0,1,0,1,2,0,0,0,0,183.0,86.0,2005,2018,G,9-Feb-82,1,1,1,1,1,1,1,1,1,1,0,0,5,1982,28,4,9,4
55,56,Mik Miller,0,1,0,0,0,0,0,0,0,203.0,98.0,2001,2017,F-G,19-Feb-80,1,1,1,1,1,1,1,1,0,0,0,0,9,1980,30,1,8,1
56,57,Ben Uzoh,0,1,0,0,0,0,0,0,0,190.0,92.0,2011,2012,G,19-Mar-88,0,1,1,0,0,0,0,0,0,1,0,0,0,1988,22,1,2,1
57,58,Rya Gomes,0,1,0,0,0,0,0,0,0,201.0,113.0,2006,2014,F,1-Sep-82,1,1,1,1,1,0,0,0,0,0,1,0,4,1982,28,1,5,1
58,59,Ant Morrow,0,1,0,0,1,0,0,0,0,196.0,95.0,2009,2017,G,27-Sep-85,1,1,1,1,1,1,1,1,0,1,0,0,1,1985,25,2,8,2
59,60,Jas Richardson,0,1,0,1,0,2,0,0,0,198.0,99.0,2002,2015,G,20-Jan-81,1,1,1,1,1,1,0,0,0,1,0,0,8,1981,29,4,6,4
60,61,Tim Mozgov,0,1,0,0,0,1,0,0,0,216.0,124.0,2011,2018,C,16-Jul-86,0,1,1,1,1,1,1,1,1,0,0,1,0,1986,24,2,8,2
61,62,Chr Kaman,0,1,0,0,0,0,0,0,0,213.0,120.0,2004,2016,C,28-Apr-82,1,1,1,1,1,1,1,0,0,0,0,1,6,1982,28,1,7,1
62,63,And Rautins,0,1,0,0,0,0,0,0,0,193.0,86.0,2011,2011,G,2-Nov-86,0,1,0,0,0,0,0,0,0,1,0,0,0,1986,24,1,1,1
63,64,Wil Bynum,0,1,0,0,0,0,0,0,0,183.0,83.0,2006,2015,G,4-Jan-83,1,1,1,1,1,1,0,0,0,1,0,0,4,1983,27,1,6,1
64,65,Ham N'Diaye,0,1,0,0,0,0,0,0,0,213.0,106.0,2011,2014,C,12-Jan-87,0,1,1,1,1,0,0,0,0,0,0,1,0,1987,23,1,4,1
65,66,Kyl Lowry,0,1,0,0,0,0,0,0,0,183.0,92.0,2007,2018,G,25-Mar-86,1,1,1,1,1,1,1,1,1,1,0,0,3,1986,24,1,9,1
66,67,Lui Scola,0,1,0,0,0,0,1,0,0,206.0,108.0,2008,2017,F,30-Apr-80,1,1,1,1,1,1,1,1,0,0,1,0,2,1980,30,2,8,2
67,68,Son Weems,0,1,0,0,0,0,0,0,0,198.0,92.0,2009,2016,G-F,8-Jul-86,1,1,1,1,1,1,1,0,0,0,0,0,1,1986,24,1,7,1
68,69,Vin Carter,0,1,0,0,0,0,0,0,0,198.0,99.0,1999,2018,G-F,26-Jan-77,1,1,1,1,1,1,1,1,1,0,0,0,11,1977,33,1,9,1
